"Year","Loaded Inbound","Loaded Outbound","Total Loaded","Empties","Total Throughput"
"2019","3,758,438","1,472,802","5,231,240","2,400,792","7,632,032"
"2018","4,097,377","1,523,008","5,620,386","2,470,638","8,091,023"
"2017","3,863,187","1,470,514","5,333,701","2,210,806","7,544,507"
"2016","3,442,575","1,529,497","4,972,073","1,803,098","6,775,171"
"2015","3,625,263","1,525,560","5,150,823","2,041,243","7,192,066"
"2014","3,517,514","1,604,394","5,121,908","1,698,898","6,820,806"
"2013","3,455,323","1,704,932","5,160,255","1,570,318","6,730,573"
"2012","3,062,290","1,540,188","4,602,478","1,443,184","6,045,662"
"2011","3,024,965","1,506,693","4,531,658","1,529,427","6,061,085"
"2010","3,128,860","1,562,398","4,691,258","1,572,241","6,263,499"
"2009","2,534,897","1,352,053","3,886,950","1,180,647","5,067,597"
"2008","3,189,363","1,687,051","4,876,414","1,611,402","6,487,816"
"2007","3,704,593","1,574,241","5,278,834","2,033,631","7,312,465"
"2006","3,719,680","1,290,843","5,010,523","2,279,842","7,290,365"
"2005","3,346,054","1,221,419","4,567,473","2,142,345","6,709,818"
"2004","2,987,980","1,007,913","3,995,893","1,783,959","5,779,852"
"2003","2,409,577","904,539","3,314,116","1,344,008","4,658,124"
"2002","2,452,490","855,202","3,307,692","1,218,673","4,526,365"
"2001","2,420,687","952,845","3,373,532","1,089,435","4,462,967"
"2000","2,456,188","1,044,353","3,500,541","1,100,246","4,600,787"
"1999","2,317,050","989,221","3,306,271","1,102,209","4,408,480"
"1998","2,096,901","973,647","3,070,548","1,027,141","4,097,689"
"1997","1,806,787","1,107,324","2,914,111","590,491","3,504,602"
"1996","1,547,578","1,081,887","2,629,465","437,869","3,067,334"
"1995","1,353,320","1,036,213","2,389,533","453,969","2,843,502"